member_casual,Month,Hours_0_to_4,Hours_4_to_8,Hours_8_to_12,Hours_12_to_16,Hours_16_to_20,Hours_20_to_24,total
casual,1,0.703,0.92,3.396,6.417,5.333,1.94,96834
member,1,1.065,8.11,17.145,23.969,25.067,5.936,96834
casual,2,0.621,0.734,3.001,7.539,6.483,2.039,49622
member,2,0.905,7.986,15.602,23.528,25.694,5.868,49622
casual,3,1.064,0.974,5.279,13.338,12.457,3.664,228496
member,3,0.864,5.723,12.159,18.157,21.559,4.761,228496
casual,4,1.522,1.081,5.325,12.046,15.028,5.505,337230
member,4,1.083,4.867,10.76,15.05,21.718,6.016,337230
casual,5,2.408,1.266,6.857,14.56,16.041,7.193,531633
member,5,1.269,3.996,9.569,13.055,17.928,5.857,531633
casual,6,3.136,1.661,6.83,12.578,17.036,9.566,729595
member,6,1.377,4.207,8.696,10.337,17.664,6.913,729595
casual,7,3.137,1.881,7.501,14.245,17.205,9.782,822410
member,7,1.359,3.969,8.301,10.234,15.904,6.482,822410
casual,8,2.84,2.052,7.683,13.827,16.905,7.998,804352
member,8,1.323,4.446,9.149,10.923,16.912,5.942,804352
casual,9,2.307,2.068,7.631,12.909,15.822,7.387,756147
member,9,1.217,4.69,9.925,11.849,17.999,6.195,756147
casual,10,2.251,1.848,7.542,11.558,12.039,5.513,631226
member,10,1.658,4.968,12.284,14.095,19.495,6.748,631226
casual,11,1.362,1.637,5.087,8.893,8.939,3.787,359978
member,11,1.487,6.742,14.727,17.77,22.389,7.18,359978
casual,12,1.371,1.543,4.916,8.662,7.909,3.771,247540
member,12,1.595,6.903,15.54,19.342,21.487,6.96,247540
