Month,total_by_Month,member_casual,rideable_type,by_month_and_type,percentage
01,96834,casual,classic_bike,8259,8.529
01,96834,casual,docked_bike,2105,2.174
01,96834,casual,electric_bike,7753,8.006
01,96834,member,classic_bike,53441,55.188
01,96834,member,docked_bike,1,0.001
01,96834,member,electric_bike,25275,26.101
02,49622,casual,classic_bike,5695,11.477
02,49622,casual,docked_bike,1271,2.561
02,49622,casual,electric_bike,3165,6.378
02,49622,member,classic_bike,29317,59.081
02,49622,member,electric_bike,10174,20.503
03,228496,casual,classic_bike,45528,19.925
03,228496,casual,docked_bike,15657,6.852
03,228496,casual,electric_bike,22848,9.999
03,228496,member,classic_bike,107017,46.835
03,228496,member,electric_bike,37446,16.388
04,337230,casual,classic_bike,70776,20.987
04,337230,casual,docked_bike,24714,7.329
04,337230,casual,electric_bike,41111,12.191
04,337230,member,classic_bike,143843,42.654
04,337230,member,electric_bike,56786,16.839
05,531633,casual,classic_bike,123950,23.315
05,531633,casual,docked_bike,43353,8.155
05,531633,casual,electric_bike,89613,16.856
05,531633,member,classic_bike,185143,34.825
05,531633,member,electric_bike,89574,16.849
06,729595,casual,classic_bike,188245,25.801
06,729595,casual,docked_bike,51716,7.088
06,729595,casual,electric_bike,130720,17.917
06,729595,member,classic_bike,246775,33.824
06,729595,member,electric_bike,112139,15.37
07,822410,casual,classic_bike,241489,29.364
07,822410,casual,docked_bike,57698,7.016
07,822410,casual,electric_bike,142869,17.372
07,822410,member,classic_bike,265420,32.273
07,822410,member,electric_bike,114934,13.975
08,804352,casual,classic_bike,229988,28.593
08,804352,casual,docked_bike,45065,5.603
08,804352,casual,electric_bike,137618,17.109
08,804352,member,classic_bike,273045,33.946
08,804352,member,electric_bike,118636,14.749
09,756147,casual,classic_bike,195466,25.85
09,756147,casual,docked_bike,35337,4.673
09,756147,casual,electric_bike,133087,17.601
09,756147,member,classic_bike,266818,35.287
09,756147,member,electric_bike,125439,16.589
10,631226,casual,classic_bike,105589,16.728
10,631226,casual,docked_bike,22884,3.625
10,631226,casual,electric_bike,128769,20.4
10,631226,member,classic_bike,210550,33.356
10,631226,member,electric_bike,163434,25.892
11,359978,casual,classic_bike,31866,8.852
11,359978,casual,docked_bike,7614,2.115
11,359978,casual,electric_bike,67449,18.737
11,359978,member,classic_bike,122173,33.939
11,359978,member,electric_bike,130876,36.357
12,247540,casual,classic_bike,19806,8.001
12,247540,casual,docked_bike,4928,1.991
12,247540,casual,electric_bike,45004,18.18
12,247540,member,classic_bike,80829,32.653
12,247540,member,electric_bike,96973,39.175
