Month,total_by_Month,member_casual,by_month_and_type,percentage
01,96834,casual,18117,18.709
01,96834,member,78717,81.291
02,49622,casual,10131,20.416
02,49622,member,39491,79.584
03,228496,casual,84033,36.777
03,228496,member,144463,63.223
04,337230,casual,136601,40.507
04,337230,member,200629,59.493
05,531633,casual,256916,48.326
05,531633,member,274717,51.674
06,729595,casual,370681,50.806
06,729595,member,358914,49.194
07,822410,casual,442056,53.751
07,822410,member,380354,46.249
08,804352,casual,412671,51.305
08,804352,member,391681,48.695
09,756147,casual,363890,48.124
09,756147,member,392257,51.876
10,631226,casual,257242,40.753
10,631226,member,373984,59.247
11,359978,casual,106929,29.704
11,359978,member,253049,70.296
12,247540,casual,69738,28.172
12,247540,member,177802,71.828
