Month,total_by_Month,member_casual,weekday_start,by_month_and_type,percentage
01,96834,casual,1,2864,2.958
01,96834,casual,2,2088,2.156
01,96834,casual,3,1882,1.944
01,96834,casual,4,2094,2.162
01,96834,casual,5,2348,2.425
01,96834,casual,6,2838,2.931
01,96834,casual,7,4003,4.134
01,96834,member,1,8872,9.162
01,96834,member,2,11135,11.499
01,96834,member,3,10569,10.915
01,96834,member,4,11208,11.574
01,96834,member,5,11968,12.359
01,96834,member,6,12645,13.058
01,96834,member,7,12320,12.723
02,49622,casual,1,1393,2.807
02,49622,casual,2,585,1.179
02,49622,casual,3,1007,2.029
02,49622,casual,4,1123,2.263
02,49622,casual,5,1042,2.1
02,49622,casual,6,1496,3.015
02,49622,casual,7,3485,7.023
02,49622,member,1,3991,8.043
02,49622,member,2,4005,8.071
02,49622,member,3,5728,11.543
02,49622,member,4,6613,13.327
02,49622,member,5,6031,12.154
02,49622,member,6,6594,13.288
02,49622,member,7,6529,13.157
03,228496,casual,1,17342,7.59
03,228496,casual,2,11990,5.247
03,228496,casual,3,10463,4.579
03,228496,casual,4,8883,3.888
03,228496,casual,5,5488,2.402
03,228496,casual,6,7777,3.404
03,228496,casual,7,22090,9.668
03,228496,member,1,18285,8.002
03,228496,member,2,22835,9.994
03,228496,member,3,23537,10.301
03,228496,member,4,22786,9.972
03,228496,member,5,15978,6.993
03,228496,member,6,17880,7.825
03,228496,member,7,23162,10.137
04,337230,casual,1,25196,7.471
04,337230,casual,2,16030,4.753
04,337230,casual,3,20377,6.042
04,337230,casual,4,11991,3.556
04,337230,casual,5,12350,3.662
04,337230,casual,6,22929,6.799
04,337230,casual,7,27728,8.222
04,337230,member,1,25157,7.46
04,337230,member,2,27731,8.223
04,337230,member,3,31849,9.444
04,337230,member,4,25354,7.518
04,337230,member,5,28086,8.328
04,337230,member,6,35795,10.614
04,337230,member,7,26657,7.905
05,531633,casual,1,62157,11.692
05,531633,casual,2,34421,6.475
05,531633,casual,3,18593,3.497
05,531633,casual,4,23163,4.357
05,531633,casual,5,22846,4.297
05,531633,casual,6,30429,5.724
05,531633,casual,7,65307,12.284
05,531633,member,1,42105,7.92
05,531633,member,2,41580,7.821
05,531633,member,3,33418,6.286
05,531633,member,4,39433,7.417
05,531633,member,5,35696,6.714
05,531633,member,6,35790,6.732
05,531633,member,7,46695,8.783
06,729595,casual,1,68928,9.447
06,729595,casual,2,35081,4.808
06,729595,casual,3,48073,6.589
06,729595,casual,4,48673,6.671
06,729595,casual,5,41421,5.677
06,729595,casual,6,52775,7.233
06,729595,casual,7,75730,10.38
06,729595,member,1,44829,6.144
06,729595,member,2,43862,6.012
06,729595,member,3,61547,8.436
06,729595,member,4,64853,8.889
06,729595,member,5,49375,6.767
06,729595,member,6,47867,6.561
06,729595,member,7,46581,6.385
07,822410,casual,1,69744,8.48
07,822410,casual,2,48316,5.875
07,822410,casual,3,45403,5.521
07,822410,casual,4,46552,5.66
07,822410,casual,5,56846,6.912
07,822410,casual,6,71968,8.751
07,822410,casual,7,103227,12.552
07,822410,member,1,39746,4.833
07,822410,member,2,46503,5.654
07,822410,member,3,52383,6.369
07,822410,member,4,53540,6.51
07,822410,member,5,64429,7.834
07,822410,member,6,64220,7.809
07,822410,member,7,59533,7.239
08,804352,casual,1,86333,10.733
08,804352,casual,2,49834,6.196
08,804352,casual,3,47312,5.882
08,804352,casual,4,40026,4.976
08,804352,casual,5,46982,5.841
08,804352,casual,6,58483,7.271
08,804352,casual,7,83701,10.406
08,804352,member,1,56425,7.015
08,804352,member,2,60177,7.481
08,804352,member,3,63611,7.908
08,804352,member,4,52226,6.493
08,804352,member,5,54685,6.799
